Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,-0.2376745123948929,16.956732345984378,0.1899926402373502,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,-0.19554521508923983,15.925680551815272,0.47172299425591147,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,0.0903682163494608,19.5432632904078,0.12700225470138704,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,-0.013160464193838095,16.994244643665485,0.005113586139502123,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,0.24436859419925128,19.746103121036814,0.6469376382624408,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,0.10383719129747249,20.84269228543181,0.09339009487117544,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,0.14640418125483734,15.996876298118977,0.06137851200071815,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,0.03479009568404834,15.834839116183952,0.02184275030790905,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,0.042545965170369016,20.353210334898172,0.06108870098640801,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,-0.15402364151583114,18.448833651656386,0.2864257626473787,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,-0.01437826627581984,17.272635487546836,0.008297486639273105,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,-0.22590558849811515,16.93775992787806,0.19999167054854614,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,0.024051666555497064,19.747447146955846,0.03615754085052842,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,0.3133351975030294,17.756915039003175,0.25095863374566935,"hypothetical protein, conserved"
15,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,-0.3324381679327644,16.936315299360913,1.4028398612877186,"hypothetical protein, conserved"
16,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.01155244864969518,20.82987803886023,0.012647844483150176,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,0.012474648906259489,17.137212831701056,0.005630781300516073,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.002591053389682685,17.080564621771593,0.0008926904534949447,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,0.11390593310841979,18.424775255731568,0.1438053460459364,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,-0.40541503119239053,15.174450074647103,0.3802230224391109,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,0.0002273849804339534,17.541803479039217,0.00023916355960124504,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,-0.49409688873438284,16.660246173503513,0.2788112236731676,"phosphatidic acid phosphatase protein, putative"
