Gene_acc,Gene_id,PG.ProteinAccessions,CAS9.1,CAS9.2,CAS9.3,H4ALL.1,H4ALL.2,H4ALL.3,Desc
0,GFP.BLA,GFP.BLA,17.447262605282067,17.352317468792226,17.29415782440303,17.632471540142767,17.600896091788094,17.590652033356427,GFP.BLA
1,Tb05.5K5.100,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,15.887964475459867,15.9281427932109,15.923754548467738,16.20824835181549,16.03769155483361,16.097815785382405,"hypothetical protein, conserved"
2,Tb05.5K5.110,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,19.726401950986272,19.83115161659527,19.638106415438088,19.75695958913398,19.667512337552196,19.51734163691035,"major vault protein, putative"
3,Tb05.5K5.120,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,16.732000623788426,17.731424486122982,16.723377432191253,16.63543582929708,17.92058274364784,16.687523591364556,"hypothetical protein, conserved"
4,Tb05.5K5.130,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,19.800543489337272,20.009017188926812,19.854926768517238,19.659437085931014,19.594366409564962,19.694836398312905,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,20.876844961422577,21.191513654993393,20.997414160615705,20.92734765735896,20.937586286348946,20.906585489056646,"ras-like small GTPase, putative"
6,Tb05.5K5.160,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,15.875989924746612,16.40785070361016,15.876993395948071,15.7058949469913,15.910247274491914,16.122737488682397,Kinetochore interacting protein 1
8,Tb05.5K5.20,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,15.521099217216651,16.013824078708122,15.460296275861953,15.66965607175973,15.728894961964942,15.509556480635196,"hypothetical protein, conserved"
9,Tb05.5K5.200,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,20.345892479455838,20.439646901084,20.31299578879727,20.386920516634397,20.282722517489255,20.318512469327633,"guanine deaminase, putative"
10,Tb05.5K5.210,Tb05.5K5.210:mRNA-p1,18.34408618602467,18.130687284135565,18.30053047516135,18.47153990081711,18.43039371943837,18.352699479238886,hypothetical protein
11,Tb05.5K5.220,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,17.145631810083696,17.13595002827533,17.43269672126665,17.34150307842931,17.611097311463837,16.822071198185263,Flagellum adhesion protein 3
12,Tb05.5K5.240,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,16.74796460495832,17.246502141474092,17.00072489670969,17.36448469509983,17.13976725863084,17.185914684531067,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,19.869567487646947,19.59313440076206,19.83780480244448,19.816350893439786,19.54614285262236,19.883116174750132,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.50,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,17.752628404720515,18.44998033120376,17.802100779778172,17.545139825091816,17.776763427210362,17.760058900516473,"hypothetical protein, conserved"
15,Tb05.5K5.60,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,16.88889325060871,17.029459282305726,16.736806845445724,17.278283264111433,17.218774286983795,17.172674560688506,"hypothetical protein, conserved"
16,Tb05.5K5.70,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,20.74998897695222,21.139760702301235,20.867028128541865,20.94180917611748,20.936965951948835,20.860603563405203,"nucleolar RNA helicase II, putative"
17,Tb05.5K5.80,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,16.934918582156314,16.7811645781937,17.05032695830401,16.939516713554852,16.901852117682648,16.904875570323025,"calcium/calmodulin-dependent protein kinase, putative"
18,Tb05.5K5.90,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,17.011548211338372,17.139628788863384,17.00951872573174,16.978018069803202,17.055256614596647,17.152452431327976,"dynein light chain, putative"
20,Tb06.3A7.960,Tb06.3A7.960:mRNA-p1,18.615941864920934,18.696864190383927,18.546894224446127,18.53475264751695,18.488866773682396,18.511621288851657,hypothetical protein
21,Tb07.11L3.100,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,15.268337677971994,14.712530568819185,14.349914384693738,15.36332910664771,14.843571567164009,15.357385280875647,SUMO-interacting motif-containing protein
22,Tb07.11L3.90,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,17.663068560665575,17.74792056976164,17.66134688939186,17.759985781959305,17.654029129030974,17.67489718351279,"zinc finger protein family member, putative"
23,Tb08.27P2.110,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,16.412333894064297,16.463103368476624,16.325708132658644,16.920023951601006,16.87366573529134,16.90700460413567,"phosphatidic acid phosphatase protein, putative"
